Composição	WELL A	WELL B	WELL C
<empty>	<empty>	<empty>	<empty>
H2O	0,003450000000000	5,52688140196092e-003	7,73653067618540e-003
N2	0,002490000000000	1,78958000633868e-003	1,98396627003630e-003
CO2	0,369311594000000	0,549452077162181	0,590367821423008
C1	0,350206360000000	0,284976864722059	0,311373019911542
C2	0,047000000000000	3,13326182449051e-002	2,41198356571582e-002
C3	0,031700000000000	2,16841624629759e-002	1,95539425777708e-002
I-C4	0,005280000000000	3,87927677124955e-003	3,17627493693990e-003
N-C4	0,013900000000000	8,75323989410090e-003	8,13920452590742e-003
I-C5	0,004980000000000	2,68565314932783e-003	2,58072338626554e-003
N-C5	0,007580000000000	4,27715131189248e-003	4,06960226295721e-003
C6	0,009970000000000	5,57024356897628e-003	1,48887887669167e-003
C7	0,014000000000000	5,07290039317482e-003	2,08443042736834e-003
C8	0,013400000000000	7,75855354250266e-003	2,48146479448612e-003
C9	0,009970000000000	6,86333582606004e-003	2,08443042736834e-003
C10	0,008870000000000	5,76918083929684e-003	0,001786654652030
C11	0,007480000000000	4,97343175801452e-003	1,48887887669167e-003
C12	0,006780000000000	4,57555721737335e-003	1,38962028491223e-003
C13	0,007080000000000	4,37661994705277e-003	1,38962028491222e-003
C14	0,006280000000000	3,58087086577044e-003	1,19110310135334e-003
C15	0,005680000000000	3,38193359544986e-003	1,19110310135334e-003
C16	0,004980000000000	2,68565314932782e-003	8,93327326015002e-004
C17	0,003890000000000	2,18830997352637e-003	7,94068734235557e-004
C18	0,004290000000000	2,38724724384695e-003	7,94068734235557e-004
C19	0,003690000000000	2,18830997352636e-003	6,94810142456112e-004
C20+	0,057900000000000	2,42703469791091e-002	7,14661860812003e-003

