Dados  das propiedades do UniSim ;;;;;;;;;;;
Componentes;Propiedades bases;;;Propiedades Críticas;;;;;;;
;Molecular Weight;Normal Boiling Pt [C];Ideal Liq Density [Kg/m3];Temperature [C];Pressure [kPa];Volume [m3/kgmole];Acentricity;Zc;Temperature [k];;
H2O;18.01510048;99.99801025;997.9860229;374.1490112;22120;5.71E-02;0.344000012;2.35E-01;647.2990112;;
N2_2*;28.01000023;-195.7499985;809;-146.9500031;3394.387451;8.98E-02;4.00E-02;2.90E-01;126.1999969;;
CO2_2*;44.00999832;-78.5000061;818;31.05001221;7376.459961;9.40E-02;0.224999994;2.74E-01;304.2000122;;
C1_2*;16.04000092;-161.5500015;300;-82.5499939;4600.154785;9.90E-02;8.00E-03;2.87E-01;190.6000061;;
C2_2*;30.06999969;-88.5499939;356;32.2499939;4883.864746;0.148000002;9.80E-02;2.85E-01;305.3999939;;
C3_2*;44.09999847;-42.0499939;507;96.64998779;4245.517578;0.202999994;0.151999995;2.80E-01;369.7999878;;
iC4_2*;58.11999893;-11.7500061;563;134.9500061;3647.699951;0.263000011;0.175999999;2.83E-01;408.1000061;;
nC4_2*;58.11999893;-0.449987793;584;152.0500122;3799.687256;0.254999995;0.193000004;2.74E-01;425.2000122;;
iC5_2*;72.15000153;27.85;625;187.2499939;3384.254883;0.305999994;0.226999998;2.71E-01;460.3999939;;
nC5_2*;72.15000153;36.05001221;631;196.4500061;3374.122314;0.30399999;0.250999987;2.63E-01;469.6000061;;
C6_2*;86.18000031;68.7499939;664;268.310022;2898.908203;0.370000005;0.306499988;2.38E-01;541.460022;;
C7_2*;96;91.9500061;738;306.9599854;2875.603516;0.475549996;0.349400014;2.84E-01;580.1099854;;
C8_2*;107;116.7499939;765;329.8000122;2635.463135;0.487839997;0.388300002;2.56E-01;602.9500122;;
C9_2*;121;142.2499939;781;356.560022;2371.004883;0.52917999;0.437400013;2.40E-01;629.710022;;
C10_2*;134;165.85;792;379.5699707;2178.487305;0.573710024;0.482499987;2.30E-01;652.7199707;;
C11_2*;147;187.2499939;796;401.1800171;2016.367432;0.627059996;0.523000002;2.26E-01;674.3300171;;
C12_2*;161;208.35;810;423.1300293;1891.737671;0.675170004;0.568300009;2.21E-01;696.2800293;;
C13_2*;175;227.2499939;825;443.9699951;1792.439209;0.724049985;0.612699986;2.18E-01;717.1199951;;
C14_2*;190;246.4499756;836;465.3199707;1701.246704;0.782989979;0.659099996;2.17E-01;738.4699707;;
C15_2*;206;265.85;842;487.139978;1616.133667;0.852150023;0.707199991;2.18E-01;760.289978;;
C16_2*;222;282.85;849;508.1200195;1547.232666;0.921410024;0.754100025;2.19E-01;781.2700195;;
C17_2*;237;299.85;845;527.1900269;1481.37146;0.994430006;0.796599984;2.21E-01;800.3400269;;
C18_2*;251;312.85;848;544.4599854;1435.775146;1.057899952;0.835300028;2.23E-01;817.6099854;;
C19_2*;263;324.85;858;558.889978;1407.404175;1.108500004;0.867600024;2.26E-01;832.039978;;
C20+_2*;515.3300171;525.7099854;941.2999878;771.9399658;1180.436157;2.807699919;1.052899957;3.81E-01;1045.089966;;
H20*;18.01499939;99.9999939;999;374.1499878;22088.74023;5.60E-02;0.344000012;2.30E-01;647.2999878;;
H2S*;34.08000183;-59.65;153.7468567;100.0500122;8936.986328;9.90E-02;0.100000001;2.85E-01;373.2000122;;
N2_1*;28.01000023;-195.7499985;809;-146.9500031;3394.387451;8.98E-02;4.00E-02;2.90E-01;126.1999969;;
CO2_1*;44.00999832;-78.5000061;818;31.05001221;7376.459961;9.40E-02;0.224999994;2.74E-01;304.2000122;;
C1_1*;16.04000092;-161.5500015;300;-82.5499939;4600.154785;9.90E-02;8.00E-03;2.87E-01;190.6000061;;
C2_1*;30.06999969;-88.5499939;356;32.2499939;4883.864746;0.148000002;9.80E-02;2.85E-01;305.3999939;;
C3_1*;44.09999847;-42.0499939;507;96.64998779;4245.517578;0.202999994;0.151999995;2.80E-01;369.7999878;;
