PVTTABLE LABEL = "NONEQ TABSAT4",PHASE = TWO,\
STDPRESSURE = 101325.0 Pa,\
STDTEMPERATURE = 288.15 K,\
PRESSURE = (, 100000.0, 5000000.0, 12000000.0, 19000000.0, 26000000.0, 33000000.0, 40000000.0, 47000000.0) Pa,\
TEMPERATURE = (, -3.15, 21.85, 46.85, 71.85, 96.85) C,\
BUBBLEPRESSURES = (, 1000000000000.0, 1000000000000.0, 1000000000000.0, 1000000000000.0, 1000000000000.0) Pa,\
BUBBLETEMPERATURES = (, -3.15, 21.85, 46.85, 71.85, 96.85) C,\
DEWPRESSURES = (, 0.0, 0.0, 0.0, 0.0, 0.0) Pa,\
DEWTEMPERATURES = (, -3.15, 21.85, 46.85, 71.85, 96.85) C,\
COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL)
PVTTABLE POINT = (100000.0, -3.15, 1.5, 850.0, 1.09e-05, 6.56e-07, -0.316, -0.796, 0.0544, 1.16e-05, 0.000152, 2070.0, 1510.0, 525000.0, 266000.0, 0.0418, 0.0586, 0.0179)
PVTTABLE POINT = (100000.0, 21.85, 1.4, 844.0, 9.39e-06, 7.76e-07, -0.23, -0.846, 0.0602, 1.22e-05, 0.000148, 2100.0, 1620.0, 567000.0, 305000.0, 0.0456, 0.06, 0.016)
PVTTABLE POINT = (100000.0, 46.85, 1.35, 839.0, 8.45e-06, 9.2e-07, -0.181, -0.904, 0.0639, 1.29e-05, 0.000143, 2140.0, 1740.0, 608000.0, 346000.0, 0.0499, 0.0616, 0.0145)
PVTTABLE POINT = (100000.0, 71.85, 1.3, 829.0, 7.87e-06, 1.09e-06, -0.152, -0.97, 0.0678, 1.35e-05, 0.000138, 2190.0, 1850.0, 648000.0, 391000.0, 0.0546, 0.0635, 0.0132)
PVTTABLE POINT = (100000.0, 96.85, 1.25, 819.0, 7.53e-06, 1.3e-06, -0.132, -1.04, 0.0721, 1.42e-05, 0.000132, 2250.0, 1960.0, 687000.0, 438000.0, 0.0597, 0.0656, 0.012)
PVTTABLE POINT = (5000000.0, -3.15, 46.6, 846.0, 1.09e-05, 6.56e-07, -0.316, -0.796, 0.0364, 1.16e-05, 0.000152, 2070.0, 1510.0, 525000.0, 266000.0, 0.0418, 0.0586, 0.0179)
PVTTABLE POINT = (5000000.0, 21.85, 41.9, 840.0, 9.39e-06, 7.76e-07, -0.23, -0.846, 0.0402, 1.22e-05, 0.000148, 2100.0, 1620.0, 567000.0, 305000.0, 0.0456, 0.06, 0.016)
PVTTABLE POINT = (5000000.0, 46.85, 38.9, 833.0, 8.45e-06, 9.2e-07, -0.181, -0.904, 0.0439, 1.29e-05, 0.000143, 2140.0, 1740.0, 608000.0, 346000.0, 0.0499, 0.0616, 0.0145)
PVTTABLE POINT = (5000000.0, 71.85, 36.9, 824.0, 7.87e-06, 1.09e-06, -0.152, -0.97, 0.0478, 1.35e-05, 0.000138, 2190.0, 1850.0, 648000.0, 391000.0, 0.0546, 0.0635, 0.0132)
PVTTABLE POINT = (5000000.0, 96.85, 35.8, 814.0, 7.53e-06, 1.3e-06, -0.132, -1.04, 0.0521, 1.42e-05, 0.000132, 2250.0, 1960.0, 687000.0, 438000.0, 0.0597, 0.0656, 0.012)
