PT;TM;ROG;ROHL;DROGDP;DROHLDP;DROGDT;DROHLDT;RS;VISG;VISHL;CPG;CPHL;HG;HHL;TCG;TCHL;SIGGHL;SEG;SEHL
COMPONENTS =  (CH4,C2H6,C3H8,iC4H10,nC4H10,iC5H12,nC5H12,nC6H14,nC7H16,nC8H18,nC9H20,nC10H22,nC11H24,nC12H26,nC14H30,N2,H2O,CO2,C15+),\
MOLES = (0.238095238095238,0.0262608309264608,0.0261719617862697,0.00648744723394801,0.0183070428793601,0.0112419462341702,0.0105754276827372,0.0193290379915574,0.0210708965703968,0.0190209179995643,0.0173567422429736,0.01597710063164,0.0148135692205084,0.0138181989380497,0.0122023902400072,0.000844257,0.002962305,0.446300822,0.066207509),\
PVTTABLE POINT = (12000000.0,40.0,302.69137578512493,649.4451285584049,7.833991326368722e-07,7.797563925028939e-07,-0.41482842481740345,-0.420526529626023,0.9658003660223106,2.717456407789053e-05,0.0001794308400142652,8972.116402746226,3371.8175791818776,-196305.74998643808,-2213693.0331115015,0.04925067248992839,0.061314304786198114,4.5228943509145205,100.0,100.0)
PVTTABLE POINT = (12000000.0,70.0,217.25181838480015,651.201204830313,1.0159579262092935e-06,1.1016372716509704e-06,-0.45845107124778317,-0.5136356476448588,0.9807794642873001,2.3208781311733988e-05,0.0002375050948000503,4568.24201563146,2875.921424397306,-101903.91211963724,-953655.4357889984,0.04233539931680755,0.06822001284824984,6.370333778440109,100.0,100.0)
PVTTABLE POINT = (12000000.0,100.0,177.4680755594434,659.5996217505116,1.313582464795728e-06,1.6880855972815196e-06,-0.5070917380446247,-0.6691784365602249,0.9948284537667685,2.2551828772619713e-05,0.000311338322569186,3276.3979463557644,2652.7955612765445,8523.549320424907,-22020.063033702783,0.041300108984208085,0.07329088522902434,7.659891871711975,100.0,100.0)
PVTTABLE POINT = (12000000.0,130.0,152.35616101955276,0.0,1.6941347059520252e-06,0.0,-0.5604232489878302,0.0,1.0,0.00022742878642731905,0.0,2747.4803019825545,0.0,88331.6064001564,0.0,0.04216632190181574,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (17000000.0,40.0,0.0,437.44762684384676,0.0,7.004479231988165e-07,0.0,-0.3860289177273319,0.0,0.0,3.6616279181003534e-05,0.0,6903.194929821468,0.0,-4644562.026863403,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (17000000.0,70.0,329.6131238850876,0.0,8.95561572439685e-07,0.0,-0.4226580460658285,0.0,1.0,0.00031079864343736945,0.0,5376.642914019437,0.0,-69351.49402690865,0.0,0.05549284702359676,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (17000000.0,100.0,263.1884014263748,0.0,1.1372131528790963e-06,0.0,-0.46182681493548833,0.0,1.0,0.00027588192182380664,0.0,3935.871479726415,0.0,561.0259755374864,0.0,0.05034614258323929,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (17000000.0,130.0,221.84094784495096,0.0,1.4358311464771142e-06,0.0,-0.5033723899914319,0.0,1.0,0.0002636235862667894,0.0,3186.04554976858,0.0,62497.17984260805,0.0,0.048915393816548004,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (22000000.0,40.0,0.0,509.5449469528397,0.0,6.316672726513584e-07,0.0,-0.3613029983337929,0.0,0.0,4.0656085288859395e-05,0.0,5391.757274160532,0.0,-4661452.108472716,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (22000000.0,70.0,0.0,410.73657257312107,0.0,7.977241421188814e-07,0.0,-0.39238784507470426,0.0,0.0,3.72074380692019e-05,0.0,4950.759820812124,0.0,-4586260.732355637,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (22000000.0,100.0,337.1806594240759,0.0,9.988415472268296e-07,0.0,-0.4248780849152685,0.0,1.0,0.000332131090238873,0.0,4086.224856302339,0.0,-22037.450748242438,0.0,0.05962455529950439,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (22000000.0,130.0,286.1102165567614,0.0,1.2411378761935663e-06,0.0,-0.45845727698378325,0.0,1.0,0.00030555369182053106,0.0,3418.4761014753917,0.0,42321.03481137194,0.0,0.056233637393954344,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (27000000.0,40.0,0.0,559.393871013965,0.0,5.737109169447802e-07,0.0,-0.33987311830120503,0.0,0.0,4.335867329868074e-05,0.0,4602.186774891527,0.0,-4670509.505810439,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (27000000.0,70.0,0.0,470.50560233398284,0.0,7.170916349797098e-07,0.0,-0.36664525162186357,0.0,0.0,4.081693245501845e-05,0.0,4455.855898084485,0.0,-4599829.439128315,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (27000000.0,100.0,397.64041344542153,0.0,8.8764262788996e-07,0.0,-0.39411853566093885,0.0,1.0,0.000389848813423423,0.0,3972.5944539373477,0.0,-37352.72355839517,0.0,0.06834204864685223,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (27000000.0,130.0,342.3345552947818,0.0,1.0890778254499733e-06,0.0,-0.42194452793693565,0.0,1.0,0.00035035975988581455,0.0,3476.6403532602453,0.0,27380.353388411924,0.0,0.06349005546942865,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (32000000.0,40.0,0.0,597.3665180129548,0.0,5.242495471600674e-07,0.0,-0.3210854985635061,0.0,0.0,4.537371031924691e-05,0.0,4124.564582511455,0.0,-4675742.010504146,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
